Trimestre,Setor,Produtividade_Hora_Habitual,Investimento_Tech_USD,VAB_Industria_Volume
2024q1,Comércio,5.849036596647578,2844413599,0.6
2024q2,Comércio,6.049778604681248,2904596545,0.5
2024q3,Comércio,6.3747385713978675,3303829108,0.7
2024q4,Comércio,6.178362191131488,2902963725,0.4
2025q1,Comércio,5.82068373181038,2941039990,0.1
2025q2,Comércio,5.926894091437871,2751417297,0.6
2025q3,Comércio,6.426736229583584,3149891124,0.6
2025q4,Comércio,6.148060024021327,3374316549,-0.7
2012q1,Intermediação Financeira,45.32831294069695,2521234716,0.3
2012q2,Intermediação Financeira,43.47970060029653,2675921818,-2.1
2012q3,Intermediação Financeira,44.66390708610377,2696978633,1.5
2012q4,Intermediação Financeira,43.40446080093396,2382736204,-0.9
2013q1,Intermediação Financeira,42.9276200228463,2522363070,0.3
2013q2,Intermediação Financeira,42.77344248027904,3176400693,2.9
2013q3,Intermediação Financeira,44.45571845226495,2943923956,0.5
2013q4,Intermediação Financeira,44.135461570013184,2998328309,-0.8
2014q1,Intermediação Financeira,42.82200050424401,2901354986,0.1
2014q2,Intermediação Financeira,43.24858709431869,2947831109,-2.5
2014q3,Intermediação Financeira,42.18604604604595,2886697965,-0.5
2014q4,Intermediação Financeira,43.26565044240226,2992885811,0.8
2015q1,Intermediação Financeira,43.575776165609945,2787749436,-2.1
2015q2,Intermediação Financeira,43.75451300436463,2114583712,-2.8
2015q3,Intermediação Financeira,46.338008015798486,1823807966,-2.0
2015q4,Intermediação Financeira,47.76336439454321,1654338141,-1.7
2016q1,Intermediação Financeira,43.03792630530189,1630658015,-0.2
2016q2,Intermediação Financeira,44.76965117741305,1819934791,-0.6
2016q3,Intermediação Financeira,43.21083929759968,1832561168,-1.0
2016q4,Intermediação Financeira,42.57000523768977,2126829656,-1.7
2017q1,Intermediação Financeira,40.45813359943225,2182272475,0.9
2017q2,Intermediação Financeira,43.73229410990746,2291272951,0.3
2017q3,Intermediação Financeira,41.64991586634351,2452100304,0.3
2017q4,Intermediação Financeira,42.67392726787711,2647083792,1.1
2018q1,Intermediação Financeira,41.72488174677449,2489705612,0.5
2018q2,Intermediação Financeira,42.646573000321574,2640118823,-1.6
2018q3,Intermediação Financeira,41.801993896689766,2587367295,1.1
2018q4,Intermediação Financeira,43.22311972389763,2491772963,-0.5
2019q1,Intermediação Financeira,40.50922880740979,2532575122,-0.9
2019q2,Intermediação Financeira,40.027234723660776,2565062774,0.6
2019q3,Intermediação Financeira,41.4986672203437,2376642871,0.2
2019q4,Intermediação Financeira,43.938554996120125,2503083604,0.1
2020q1,Intermediação Financeira,40.8892716208699,2357524519,-1.9
2020q2,Intermediação Financeira,46.06563681941588,2014228419,-11.8
2020q3,Intermediação Financeira,47.12139171232999,2690365501,15.4
2020q4,Intermediação Financeira,41.86635367670437,2803870802,2.5
2021q1,Intermediação Financeira,38.90220675923479,2671732039,1.7
2021q2,Intermediação Financeira,39.35349875910707,2580148771,-1.6
2021q3,Intermediação Financeira,40.55973201735893,2795427895,-1.1
2021q4,Intermediação Financeira,40.41193261697225,2907096620,-2.7
2022q1,Intermediação Financeira,37.45054965745948,2938566873,3.3
2022q2,Intermediação Financeira,35.61724529183096,3216294182,1.5
2022q3,Intermediação Financeira,36.434806918181366,3079200592,0.5
2022q4,Intermediação Financeira,36.278450015676384,2866615674,-0.6
2023q1,Intermediação Financeira,35.91748814669867,2711131832,0.2
2023q2,Intermediação Financeira,37.03029944390921,2544826275,0.9
2023q3,Intermediação Financeira,37.13186459841968,2556798065,0.7
2023q4,Intermediação Financeira,39.64436697266555,2532091527,1.5
2024q1,Intermediação Financeira,38.41798205950623,2844413599,0.6
2024q2,Intermediação Financeira,39.841832925325505,2904596545,0.5
2024q3,Intermediação Financeira,39.82397165647628,3303829108,0.7
2024q4,Intermediação Financeira,41.7032111021718,2902963725,0.4
2025q1,Intermediação Financeira,37.59789429183682,2941039990,0.1
2025q2,Intermediação Financeira,36.94963808525544,2751417297,0.6
2025q3,Intermediação Financeira,38.53255936522224,3149891124,0.6
2025q4,Intermediação Financeira,40.13323610850129,3374316549,-0.7
2012q1,Outros Serviços,5.554439482097426,2521234716,0.3
2012q2,Outros Serviços,5.790111308153887,2675921818,-2.1
2012q3,Outros Serviços,5.863402997417075,2696978633,1.5
2012q4,Outros Serviços,6.174225840061996,2382736204,-0.9
2013q1,Outros Serviços,5.655375119417294,2522363070,0.3
2013q2,Outros Serviços,5.817465972022738,3176400693,2.9
2013q3,Outros Serviços,5.906944545097087,2943923956,0.5
2013q4,Outros Serviços,6.082950431391185,2998328309,-0.8
2014q1,Outros Serviços,5.684224760600106,2901354986,0.1
2014q2,Outros Serviços,5.734706154089994,2947831109,-2.5
2014q3,Outros Serviços,5.7266716373597335,2886697965,-0.5
2014q4,Outros Serviços,5.80982971356353,2992885811,0.8
2015q1,Outros Serviços,5.48118689628172,2787749436,-2.1
2015q2,Outros Serviços,5.478560903299965,2114583712,-2.8
2015q3,Outros Serviços,5.4434624488651915,1823807966,-2.0
2015q4,Outros Serviços,5.610217712155797,1654338141,-1.7
2016q1,Outros Serviços,5.359792842071396,1630658015,-0.2
2016q2,Outros Serviços,5.434250377371557,1819934791,-0.6
2016q3,Outros Serviços,5.477971510292515,1832561168,-1.0
2016q4,Outros Serviços,5.545378580324175,2126829656,-1.7
2017q1,Outros Serviços,5.244319769614192,2182272475,0.9
2017q2,Outros Serviços,5.361835714968258,2291272951,0.3
2017q3,Outros Serviços,5.372202827831957,2452100304,0.3
2017q4,Outros Serviços,5.372020411992316,2647083792,1.1
2018q1,Outros Serviços,5.189246424503944,2489705612,0.5
2018q2,Outros Serviços,5.405154002580956,2640118823,-1.6
2018q3,Outros Serviços,5.419029162420177,2587367295,1.1
2018q4,Outros Serviços,5.4161145314608925,2491772963,-0.5
2019q1,Outros Serviços,5.216141210573148,2532575122,-0.9
2019q2,Outros Serviços,5.287161987882654,2565062774,0.6
2019q3,Outros Serviços,5.31026406156241,2376642871,0.2
2019q4,Outros Serviços,5.406725748727042,2503083604,0.1
2020q1,Outros Serviços,5.114104460764542,2357524519,-1.9
2020q2,Outros Serviços,5.083290599395005,2014228419,-11.8
2020q3,Outros Serviços,5.866627000186742,2690365501,15.4
2020q4,Outros Serviços,6.055321444513025,2803870802,2.5
2021q1,Outros Serviços,5.736122913016091,2671732039,1.7
2021q2,Outros Serviços,5.731276057072719,2580148771,-1.6
2021q3,Outros Serviços,5.844056020182682,2795427895,-1.1
2021q4,Outros Serviços,5.709401614569009,2907096620,-2.7
2022q1,Outros Serviços,5.522712600895078,2938566873,3.3
2022q2,Outros Serviços,5.69815784455357,3216294182,1.5
2022q3,Outros Serviços,5.866204469082493,3079200592,0.5
2022q4,Outros Serviços,5.94864811063643,2866615674,-0.6
2023q1,Outros Serviços,5.619821361727899,2711131832,0.2
2023q2,Outros Serviços,5.714329762375752,2544826275,0.9
2023q3,Outros Serviços,5.8251884843417905,2556798065,0.7
2023q4,Outros Serviços,5.924616528700491,2532091527,1.5
2024q1,Outros Serviços,5.680515623984122,2844413599,0.6
2024q2,Outros Serviços,5.771200390877442,2904596545,0.5
2024q3,Outros Serviços,5.9498442010089825,3303829108,0.7
2024q4,Outros Serviços,5.9613499307812186,2902963725,0.4
2025q1,Outros Serviços,5.67155515767565,2941039990,0.1
2025q2,Outros Serviços,5.784281896817535,2751417297,0.6
2025q3,Outros Serviços,5.944329312102354,3149891124,0.6
2025q4,Outros Serviços,6.022592370569354,3374316549,-0.7
2012q1,Serviço de Informação,18.595618151788255,2521234716,0.3
2012q2,Serviço de Informação,18.114704007121603,2675921818,-2.1
2012q3,Serviço de Informação,18.31873840436385,2696978633,1.5
2012q4,Serviço de Informação,20.127159626239727,2382736204,-0.9
2013q1,Serviço de Informação,18.425847233848465,2522363070,0.3
2013q2,Serviço de Informação,19.24487154981433,3176400693,2.9
2013q3,Serviço de Informação,18.805702442294,2943923956,0.5
2013q4,Serviço de Informação,20.434999758087788,2998328309,-0.8
2014q1,Serviço de Informação,19.047209368815505,2901354986,0.1
2014q2,Serviço de Informação,19.6180782290496,2947831109,-2.5
2014q3,Serviço de Informação,19.72506508174521,2886697965,-0.5
2014q4,Serviço de Informação,21.126750356813098,2992885811,0.8
2015q1,Serviço de Informação,20.351685379667146,2787749436,-2.1
2015q2,Serviço de Informação,19.69595431932356,2114583712,-2.8
2015q3,Serviço de Informação,18.755546656726196,1823807966,-2.0
2015q4,Serviço de Informação,21.753145865147015,1654338141,-1.7
2016q1,Serviço de Informação,20.664639490167463,1630658015,-0.2
2016q2,Serviço de Informação,20.592276517944725,1819934791,-0.6
2016q3,Serviço de Informação,20.46784393474229,1832561168,-1.0
2016q4,Serviço de Informação,20.559978173581577,2126829656,-1.7
2017q1,Serviço de Informação,20.44760341614727,2182272475,0.9
2017q2,Serviço de Informação,20.50948339730061,2291272951,0.3
2017q3,Serviço de Informação,19.156861410534095,2452100304,0.3
2017q4,Serviço de Informação,21.66676601663784,2647083792,1.1
2018q1,Serviço de Informação,20.457002403466102,2489705612,0.5
2018q2,Serviço de Informação,20.927592266174575,2640118823,-1.6
2018q3,Serviço de Informação,19.80445667592272,2587367295,1.1
2018q4,Serviço de Informação,21.22228573192658,2491772963,-0.5
2019q1,Serviço de Informação,19.439232329363907,2532575122,-0.9
2019q2,Serviço de Informação,20.138519719810947,2565062774,0.6
2019q3,Serviço de Informação,20.17011641835823,2376642871,0.2
2019q4,Serviço de Informação,21.22693797614415,2503083604,0.1
2020q1,Serviço de Informação,18.539745377979884,2357524519,-1.9
2020q2,Serviço de Informação,19.567715011723298,2014228419,-11.8
2020q3,Serviço de Informação,19.41155260222973,2690365501,15.4
2020q4,Serviço de Informação,21.630739896407544,2803870802,2.5
2021q1,Serviço de Informação,19.76251727198388,2671732039,1.7
2021q2,Serviço de Informação,19.501592600226715,2580148771,-1.6
2021q3,Serviço de Informação,20.68140271674186,2795427895,-1.1
2021q4,Serviço de Informação,20.435047889536513,2907096620,-2.7
2022q1,Serviço de Informação,18.729511940381887,2938566873,3.3
2022q2,Serviço de Informação,17.96438962857089,3216294182,1.5
2022q3,Serviço de Informação,20.27030326824065,3079200592,0.5
2022q4,Serviço de Informação,21.63108200593537,2866615674,-0.6
2023q1,Serviço de Informação,19.772707205032052,2711131832,0.2
2023q2,Serviço de Informação,19.683966737463237,2544826275,0.9
2023q3,Serviço de Informação,19.225779977748065,2556798065,0.7
2023q4,Serviço de Informação,19.85349576025124,2532091527,1.5
2024q1,Serviço de Informação,18.931647280481258,2844413599,0.6
2024q2,Serviço de Informação,18.735432906043336,2904596545,0.5
2024q3,Serviço de Informação,19.90195161140835,3303829108,0.7
2024q4,Serviço de Informação,21.234049376624128,2902963725,0.4
2025q1,Serviço de Informação,19.89614093014248,2941039990,0.1
2025q2,Serviço de Informação,20.621796305084096,2751417297,0.6
2025q3,Serviço de Informação,21.717915961003285,3149891124,0.6
2025q4,Serviço de Informação,22.698643225200605,3374316549,-0.7
2012q1,Serviços Imobiliários,136.3360394750919,2521234716,0.3
2012q2,Serviços Imobiliários,125.73986671543398,2675921818,-2.1
2012q3,Serviços Imobiliários,129.96808313564856,2696978633,1.5
2012q4,Serviços Imobiliários,125.37164824012862,2382736204,-0.9
2013q1,Serviços Imobiliários,127.83788195003017,2522363070,0.3
2013q2,Serviços Imobiliários,125.73892457735596,3176400693,2.9
2013q3,Serviços Imobiliários,121.20390038022776,2943923956,0.5
2013q4,Serviços Imobiliários,133.0938193867339,2998328309,-0.8
2014q1,Serviços Imobiliários,137.99522192755876,2901354986,0.1
2014q2,Serviços Imobiliários,140.4319145888976,2947831109,-2.5
2014q3,Serviços Imobiliários,135.45635136102888,2886697965,-0.5
2014q4,Serviços Imobiliários,120.0801905413853,2992885811,0.8
2015q1,Serviços Imobiliários,131.16486683178698,2787749436,-2.1
2015q2,Serviços Imobiliários,125.72507155135548,2114583712,-2.8
2015q3,Serviços Imobiliários,125.88449110283544,1823807966,-2.0
2015q4,Serviços Imobiliários,132.34020772550002,1654338141,-1.7
2016q1,Serviços Imobiliários,134.39616776892572,1630658015,-0.2
2016q2,Serviços Imobiliários,142.4727469079522,1819934791,-0.6
2016q3,Serviços Imobiliários,137.46846437112433,1832561168,-1.0
2016q4,Serviços Imobiliários,129.31292224828726,2126829656,-1.7
2017q1,Serviços Imobiliários,124.9089045360866,2182272475,0.9
2017q2,Serviços Imobiliários,137.78939202321183,2291272951,0.3
2017q3,Serviços Imobiliários,135.6080952737896,2452100304,0.3
2017q4,Serviços Imobiliários,142.66800794287423,2647083792,1.1
2018q1,Serviços Imobiliários,139.69797717150988,2489705612,0.5
2018q2,Serviços Imobiliários,136.65097588438587,2640118823,-1.6
2018q3,Serviços Imobiliários,133.69528669321437,2587367295,1.1
2018q4,Serviços Imobiliários,137.9588635089006,2491772963,-0.5
2019q1,Serviços Imobiliários,138.28332499917352,2532575122,-0.9
2019q2,Serviços Imobiliários,143.37802169549033,2565062774,0.6
2019q3,Serviços Imobiliários,138.30819123123985,2376642871,0.2
2019q4,Serviços Imobiliários,142.6404342639497,2503083604,0.1
2020q1,Serviços Imobiliários,148.08496042197402,2357524519,-1.9
2020q2,Serviços Imobiliários,159.0317124338443,2014228419,-11.8
2020q3,Serviços Imobiliários,144.0613903896946,2690365501,15.4
2020q4,Serviços Imobiliários,156.61754245980103,2803870802,2.5
2021q1,Serviços Imobiliários,138.01465913380142,2671732039,1.7
2021q2,Serviços Imobiliários,148.32025670166064,2580148771,-1.6
2021q3,Serviços Imobiliários,140.46734639853693,2795427895,-1.1
2021q4,Serviços Imobiliários,146.3004319573103,2907096620,-2.7
2022q1,Serviços Imobiliários,140.7246416923033,2938566873,3.3
2022q2,Serviços Imobiliários,129.79960938625015,3216294182,1.5
2022q3,Serviços Imobiliários,129.5668030421865,3079200592,0.5
2022q4,Serviços Imobiliários,133.1740149825458,2866615674,-0.6
2023q1,Serviços Imobiliários,131.05216017396228,2711131832,0.2
2023q2,Serviços Imobiliários,132.63079572268916,2544826275,0.9
2023q3,Serviços Imobiliários,134.94213354398735,2556798065,0.7
2023q4,Serviços Imobiliários,125.66374005299424,2532091527,1.5
2024q1,Serviços Imobiliários,125.4738107776613,2844413599,0.6
2024q2,Serviços Imobiliários,125.27461479633968,2904596545,0.5
2024q3,Serviços Imobiliários,131.07973204022443,3303829108,0.7
2024q4,Serviços Imobiliários,127.48320689366145,2902963725,0.4
2025q1,Serviços Imobiliários,121.48920125554164,2941039990,0.1
2025q2,Serviços Imobiliários,122.78030395832128,2751417297,0.6
2025q3,Serviços Imobiliários,117.5559158348158,3149891124,0.6
2025q4,Serviços Imobiliários,112.96185152126372,3374316549,-0.7
2012q1,Transporte,8.098424795303348,2521234716,0.3
2012q2,Transporte,8.318035811221966,2675921818,-2.1
2012q3,Transporte,8.9328736573766,2696978633,1.5
2012q4,Transporte,8.413826642197272,2382736204,-0.9
2013q1,Transporte,7.920767208307253,2522363070,0.3
2013q2,Transporte,8.506449215751456,3176400693,2.9
2013q3,Transporte,8.931665295418062,2943923956,0.5
2013q4,Transporte,8.88039669197459,2998328309,-0.8
2014q1,Transporte,8.61706218186567,2901354986,0.1
2014q2,Transporte,8.647381288364924,2947831109,-2.5
2014q3,Transporte,9.458415075209835,2886697965,-0.5
2014q4,Transporte,9.048438524411138,2992885811,0.8
2015q1,Transporte,8.260098261772711,2787749436,-2.1
2015q2,Transporte,8.368347537362474,2114583712,-2.8
2015q3,Transporte,8.86015721011828,1823807966,-2.0
2015q4,Transporte,8.242262476321207,1654338141,-1.7
2016q1,Transporte,7.685418077744671,1630658015,-0.2
2016q2,Transporte,7.837977469965152,1819934791,-0.6
2016q3,Transporte,8.061513084111011,1832561168,-1.0
2016q4,Transporte,7.616464052326727,2126829656,-1.7
2017q1,Transporte,7.576726706173601,2182272475,0.9
2017q2,Transporte,7.66345231205518,2291272951,0.3
2017q3,Transporte,8.078574747848693,2452100304,0.3
2017q4,Transporte,8.054602030450665,2647083792,1.1
2018q1,Transporte,7.572155134132371,2489705612,0.5
2018q2,Transporte,7.57545479747281,2640118823,-1.6
2018q3,Transporte,8.221972659919711,2587367295,1.1
2018q4,Transporte,7.729694442583289,2491772963,-0.5
2019q1,Transporte,7.339843410145462,2532575122,-0.9
2019q2,Transporte,7.290930843652302,2565062774,0.6
2019q3,Transporte,7.656018632323995,2376642871,0.2
2019q4,Transporte,7.343335742157271,2503083604,0.1
2020q1,Transporte,6.868686277549541,2357524519,-1.9
2020q2,Transporte,6.2016590001219445,2014228419,-11.8
2020q3,Transporte,7.529530474321019,2690365501,15.4
2020q4,Transporte,7.661222326585646,2803870802,2.5
2021q1,Transporte,7.292865420053443,2671732039,1.7
2021q2,Transporte,7.24315999594775,2580148771,-1.6
2021q3,Transporte,7.264625417156353,2795427895,-1.1
2021q4,Transporte,7.203547629807361,2907096620,-2.7
2022q1,Transporte,7.119055846922645,2938566873,3.3
2022q2,Transporte,7.139442935117776,3216294182,1.5
2022q3,Transporte,7.285938844752196,3079200592,0.5
2022q4,Transporte,7.109169704070152,2866615674,-0.6
2023q1,Transporte,6.944586699074939,2711131832,0.2
2023q2,Transporte,7.231692115789653,2544826275,0.9
2023q3,Transporte,7.222097776947261,2556798065,0.7
2023q4,Transporte,6.670098921966591,2532091527,1.5
2024q1,Transporte,6.5334740076224005,2844413599,0.6
2024q2,Transporte,6.736764480539492,2904596545,0.5
2024q3,Transporte,6.981416866600834,3303829108,0.7
2024q4,Transporte,6.586140581112395,2902963725,0.4
2025q1,Transporte,6.342872666716435,2941039990,0.1
2025q2,Transporte,6.453045767077026,2751417297,0.6
2025q3,Transporte,6.872321288424383,3149891124,0.6
2025q4,Transporte,6.533907413385637,3374316549,-0.7
