Trimestre,Setor,Produtividade_Hora_Habitual,Investimento_Tech_USD,VAB_Industria_Volume,Share_it,Bartik_Tech_it,Stringency_Index
2012q1,APU,16.12179883622825,2521234716,0.3,0.1575036196462163,397103593.74770015,0.0
2012q2,APU,16.068570506384116,2675921818,-2.1,0.1605105887289859,429513786.39991826,0.0
2012q3,APU,15.745393908678066,2696978633,1.5,0.16152113166050663,435619040.8663662,0.0
2012q4,APU,15.948179151898705,2382736204,-0.9,0.157370644723653,374972732.6298696,0.0
2013q1,APU,16.390028178619495,2522363070,0.3,0.15539657474618074,391966581.34426093,0.0
2013q2,APU,16.443183613092877,3176400693,2.9,0.15838327129990482,503088732.7166247,0.0
2013q3,APU,16.472889837897135,2943923956,0.5,0.15900376158445267,468094982.8225827,0.0
2013q4,APU,16.506454934215498,2998328309,-0.8,0.15761451319184666,472580056.8123678,0.0
2014q1,APU,16.270796239513984,2901354986,0.1,0.15860742997427812,460176457.7725177,0.0
2014q2,APU,16.294324507721708,2947831109,-2.5,0.16092122263802988,474368586.1906995,0.0
2014q3,APU,16.232266820609055,2886697965,-0.5,0.16091323805795324,464507916.8434542,0.0
2014q4,APU,16.318249893507367,2992885811,0.8,0.16201658866150964,484897149.35165566,0.0
2015q1,APU,16.380122499883587,2787749436,-2.1,0.15930878257562886,444112968.775056,0.0
2015q2,APU,16.233316142507288,2114583712,-2.8,0.16218398952763852,342951622.602323,0.0
2015q3,APU,16.182068413428848,1823807966,-2.0,0.16429957470792259,299650873.16272134,0.0
2015q4,APU,15.893070392244717,1654338141,-1.7,0.166554871416338,275538076.3533987,0.0
2016q1,APU,16.1631767407501,1630658015,-0.2,0.16580263579208793,270367396.9624941,0.0
2016q2,APU,16.115466149217426,1819934791,-0.6,0.17008077811944777,309535925.37993455,0.0
2016q3,APU,15.880975657483871,1832561168,-1.0,0.17232167998400638,315790019.143213,0.0
2016q4,APU,15.89181182743777,2126829656,-1.7,0.16880164791375218,359012350.76463866,0.0
2017q1,APU,16.288663997049156,2182272475,0.9,0.1659427906325364,362132384.422072,0.0
2017q2,APU,16.21063759634622,2291272951,0.3,0.1690524543565828,387345315.9674003,0.0
2017q3,APU,16.023833157007022,2452100304,0.3,0.16971370203524042,416155020.35357845,0.0
2017q4,APU,15.905747489738555,2647083792,1.1,0.16803490699939172,444802478.8083172,0.0
2018q1,APU,16.06916797185889,2489705612,0.5,0.16803646363035105,418361326.5211189,0.0
2018q2,APU,15.886980067005531,2640118823,-1.6,0.17289425320334526,456461372.27067983,0.0
2018q3,APU,15.654513566110031,2587367295,1.1,0.17244131822304345,446169027.0769901,0.0
2018q4,APU,15.57487955538826,2491772963,-0.5,0.17212594973276424,428898787.774799,0.0
2019q1,APU,15.793228956622157,2532575122,-0.9,0.17003210710688052,430619084.400125,0.0
