Trimestre_Cod,Setor_Cod,Setor_Nome,VAB_Indice_Volume
201601,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.7
201601,90702,Atividades imobiliárias,0.3
201601,90701,Outras atividades de serviços,0.0
201601,90703,"Administração, saúde e educação públicas e seguridade social",-0.9
201602,90697,Comércio,-0.6
201602,90698,"Transporte, armazenagem e correio",-0.8
201602,90699,Informação e comunicação,-0.1
201602,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.7
201602,90702,Atividades imobiliárias,-0.2
201602,90701,Outras atividades de serviços,0.2
201602,90703,"Administração, saúde e educação públicas e seguridade social",1.0
201603,90697,Comércio,-1.0
201603,90698,"Transporte, armazenagem e correio",-2.2
201603,90699,Informação e comunicação,1.1
201603,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.3
201603,90702,Atividades imobiliárias,-0.3
201603,90701,Outras atividades de serviços,-0.4
201603,90703,"Administração, saúde e educação públicas e seguridade social",0.0
201604,90697,Comércio,-0.4
201604,90698,"Transporte, armazenagem e correio",-0.6
201604,90699,Informação e comunicação,-3.8
201604,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.8
201604,90702,Atividades imobiliárias,0.1
201604,90701,Outras atividades de serviços,-0.4
201604,90703,"Administração, saúde e educação públicas e seguridade social",-0.5
201701,90697,Comércio,0.2
201701,90698,"Transporte, armazenagem e correio",1.5
201701,90699,Informação e comunicação,4.1
201701,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.1
201701,90702,Atividades imobiliárias,0.5
201701,90701,Outras atividades de serviços,0.2
201701,90703,"Administração, saúde e educação públicas e seguridade social",-0.1
201702,90697,Comércio,2.7
201702,90698,"Transporte, armazenagem e correio",1.4
201702,90699,Informação e comunicação,-0.7
201702,90700,"Atividades financeiras, de seguros e serviços relacionados",0.7
201702,90702,Atividades imobiliárias,0.8
201702,90701,Outras atividades de serviços,1.2
201702,90703,"Administração, saúde e educação públicas e seguridade social",0.7
201703,90697,Comércio,1.5
201703,90698,"Transporte, armazenagem e correio",0.4
201703,90699,Informação e comunicação,0.3
201703,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.4
201703,90702,Atividades imobiliárias,0.5
201703,90701,Outras atividades de serviços,0.7
201703,90703,"Administração, saúde e educação públicas e seguridade social",0.3
201704,90697,Comércio,0.8
201704,90698,"Transporte, armazenagem e correio",0.6
201704,90699,Informação e comunicação,0.4
201704,90700,"Atividades financeiras, de seguros e serviços relacionados",1.1
201704,90702,Atividades imobiliárias,0.5
201704,90701,Outras atividades de serviços,-0.3
201704,90703,"Administração, saúde e educação públicas e seguridade social",-0.1
201801,90697,Comércio,0.9
201801,90698,"Transporte, armazenagem e correio",0.4
201801,90699,Informação e comunicação,-0.2
201801,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.3
201801,90702,Atividades imobiliárias,1.3
201801,90701,Outras atividades de serviços,1.9
201801,90703,"Administração, saúde e educação públicas e seguridade social",0.1
201802,90697,Comércio,-0.4
201802,90698,"Transporte, armazenagem e correio",-0.9
201802,90699,Informação e comunicação,2.1
201802,90700,"Atividades financeiras, de seguros e serviços relacionados",1.1
201802,90702,Atividades imobiliárias,1.0
201802,90701,Outras atividades de serviços,0.9
201802,90703,"Administração, saúde e educação públicas e seguridade social",-0.3
201803,90697,Comércio,0.3
201803,90698,"Transporte, armazenagem e correio",3.1
201803,90699,Informação e comunicação,0.1
201803,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.3
201803,90702,Atividades imobiliárias,0.7
201803,90701,Outras atividades de serviços,1.1
201803,90703,"Administração, saúde e educação públicas e seguridade social",0.2
201804,90697,Comércio,-0.3
201804,90698,"Transporte, armazenagem e correio",-1.1
201804,90699,Informação e comunicação,0.3
201804,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.7
201804,90702,Atividades imobiliárias,0.9
201804,90701,Outras atividades de serviços,-0.5
201804,90703,"Administração, saúde e educação públicas e seguridade social",-0.8
201901,90697,Comércio,0.4
201901,90698,"Transporte, armazenagem e correio",0.0
201901,90699,Informação e comunicação,2.4
201901,90700,"Atividades financeiras, de seguros e serviços relacionados",1.2
201901,90702,Atividades imobiliárias,0.5
201901,90701,Outras atividades de serviços,2.0
201901,90703,"Administração, saúde e educação públicas e seguridade social",0.6
201902,90697,Comércio,1.2
201902,90698,"Transporte, armazenagem e correio",-0.3
201902,90699,Informação e comunicação,0.9
201902,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.8
201902,90702,Atividades imobiliárias,1.0
201902,90701,Outras atividades de serviços,0.1
201902,90703,"Administração, saúde e educação públicas e seguridade social",-0.3
201903,90697,Comércio,0.8
201903,90698,"Transporte, armazenagem e correio",0.4
201903,90699,Informação e comunicação,0.7
201903,90700,"Atividades financeiras, de seguros e serviços relacionados",1.3
201903,90702,Atividades imobiliárias,0.0
201903,90701,Outras atividades de serviços,0.0
201903,90703,"Administração, saúde e educação públicas e seguridade social",-0.6
201904,90697,Comércio,0.3
201904,90698,"Transporte, armazenagem e correio",-1.2
201904,90699,Informação e comunicação,0.3
201904,90700,"Atividades financeiras, de seguros e serviços relacionados",0.8
201904,90702,Atividades imobiliárias,-0.4
201904,90701,Outras atividades de serviços,1.3
201904,90703,"Administração, saúde e educação públicas e seguridade social",0.3
202001,90697,Comércio,0.2
202001,90698,"Transporte, armazenagem e correio",-3.2
202001,90699,Informação e comunicação,2.0
