Setor,Trimestre,Produtividade_Hora_Habitual,Estoque_TI_Setor,Densidade_TI,Capital_Humano_FGV,Selic
APU,2012q2,16.068570506384116,111374.10887192994,0.007740076615339401,100,8.87
APU,2012q3,15.745393908678066,117832.33925326006,0.008077040621281107,100.18153381347656,7.77
APU,2012q4,15.948179151898705,101453.16417098,0.0071161925338610165,100.7004165649414,7.176666666666667
APU,2013q1,16.390028178619495,103364.46098887,0.007416430187064499,101.4244155883789,7.126666666666668
APU,2013q2,16.443183613092877,98289.71300682999,0.006830899105476301,102.35550689697266,7.526666666666666
APU,2013q3,16.472889837897135,99887.68146472,0.006870341972257829,102.14210510253906,8.526666666666666
APU,2013q4,16.506454934215498,99527.17726695002,0.006851030997780296,102.35945129394531,9.533333333333333
APU,2014q1,16.270796239513984,99136.97147667999,0.006834408590752796,103.20686340332031,10.416666666666666
APU,2014q2,16.294324507721708,94655.97766641,0.006385461875409908,104.41029357910156,10.89
APU,2014q3,16.232266820609055,111548.49750872998,0.007501851141883098,104.5859375,10.9
APU,2014q4,16.318249893507367,128531.04769863994,0.008533821653223842,105.12271881103516,11.216666666666667
APU,2015q1,16.380122499883587,112266.85044347995,0.007663090299266401,106.01679229736328,12.183333333333332
APU,2015q2,16.233316142507288,116355.70529725996,0.007777138529087036,107.37136840820312,13.136666666666665
APU,2015q3,16.182068413428848,111089.74921503998,0.007333332117824848,107.95160675048828,13.996666666666668
APU,2015q4,15.893070392244717,123664.57915668002,0.00803855724330004,106.95196533203125,14.15
APU,2016q1,16.1631767407501,114040.90767339,0.007582673386362678,109.09098815917969,14.15
APU,2016q2,16.115466149217426,122490.51494014,0.00794271284710002,109.75340270996094,14.15
APU,2016q3,15.880975657483871,116883.31961473,0.007551488405828119,110.8108901977539,14.15
APU,2016q4,15.89181182743777,127258.69484476,0.00836043094049377,111.60974884033203,13.866666666666667
APU,2017q1,16.288663997049156,119356.28833150004,0.008095604532269757,111.98241424560547,12.713333333333333
APU,2017q2,16.21063759634622,113865.21254264,0.007467861529931232,112.41259002685547,10.963333333333333
APU,2017q3,16.023833157007022,111922.76336889998,0.007225734493823923,113.01736450195312,9.17
APU,2017q4,15.905747489738555,112299.52919508,0.0072462547923702264,112.57491302490234,7.47
APU,2018q1,16.06916797185889,113576.51776983,0.007437422506166848,113.65958404541016,6.733333333333333
APU,2018q2,15.886980067005531,94484.4859157,0.005975037107958395,114.9787368774414,6.400000000000001
APU,2018q3,15.654513566110031,113008.09377114002,0.007052019598064021,115.1507797241211,6.400000000000001
APU,2018q4,15.57487955538826,114221.78138585998,0.007094689777188146,115.61083984375,6.400000000000001
APU,2019q1,15.793228956622157,109164.31780962997,0.006931693092894438,116.07392120361328,6.400000000000001
APU,2019q2,15.67648634388673,124298.21580099,0.007660602191848535,116.75357818603516,6.400000000000001
APU,2019q3,15.488549407574933,109536.46401979998,0.006719711411596998,116.94534301757812,6.003333333333334
APU,2019q4,15.40667609575425,105794.09600277,0.006486099138225854,117.18951416015625,4.956666666666667
APU,2020q1,15.336637045542917,108031.99763501,0.006635988455917693,117.7695541381836,4.180000000000001
APU,2020q2,13.5254111071483,117600.11461988,0.007180351965874396,123.0787124633789,3.08
APU,2020q3,14.464795395183195,145155.41499497998,0.009215763839015416,124.04821014404297,1.9966666666666668
APU,2020q4,14.373715667735809,112575.96293229998,0.00696073113708111,124.14573669433594,1.8999999999999997
APU,2021q1,14.583591827354288,128456.95598295004,0.007996734966309227,124.17011260986328,2.01
APU,2021q2,14.83612989154756,136981.23493694997,0.008454622471494646,123.7278060913086,3.233333333333333
APU,2021q3,15.44847218928336,128846.43563200992,0.008037706738465041,120.86347198486328,4.863333333333333
APU,2021q4,15.350826313415594,111258.3472783,0.006789453094309666,120.00018310546875,7.57
