Setor,Trimestre,Period,d_ln_Produtividade,Impacto_tech_setor,d_ln_Cambio,d_Selic,VAB_Industria_Volume,Share_2012q1
APU,2012q2,2012-04-01,-0.0033070995731905306,0.009378581012295113,0.10490787335067497,-1.4366666666666674,-2.1,0.1575036196462163
APU,2012q3,2012-07-01,-0.020317349359225023,0.0012345442059884088,0.032767915578264306,-1.0999999999999996,1.5,0.1575036196462163
APU,2012q4,2012-10-01,0.012796790701497418,-0.019511962439330552,0.01454974450225599,-0.5933333333333328,-0.9,0.1575036196462163
APU,2013q1,2013-01-01,0.027328449052527848,0.008969310660741586,-0.030949800646382197,-0.049999999999998934,0.3,0.1575036196462163
APU,2013q2,2013-04-01,0.003237909300556119,0.03631285482574461,0.03653703884775428,0.3999999999999986,2.9,0.1575036196462163
APU,2013q3,2013-07-01,0.0018049681966778586,-0.011971114247264608,0.10026057652606335,0.9999999999999991,0.5,0.1575036196462163
APU,2013q4,2013-10-01,0.0020355230305293404,0.0028841326743179346,-0.005170008010641491,1.0066666666666677,-0.8,0.1575036196462163
APU,2014q1,2014-01-01,-0.014379653383449043,-0.0051782525829233254,0.03771592375115218,0.8833333333333329,0.1,0.1575036196462163
APU,2014q2,2014-04-01,0.0014449983148723256,0.002503018894878224,-0.05847310268713091,0.4733333333333345,-2.5,0.1575036196462163
APU,2014q3,2014-07-01,-0.0038158171439022226,-0.003300709867912799,0.020171312936064778,0.009999999999999787,-0.5,0.1575036196462163
APU,2014q4,2014-10-01,0.005283066541852843,0.0056897867424833635,0.11222140317856344,0.31666666666666643,0.8,0.1575036196462163
APU,2015q1,2015-01-01,0.003784450154099339,-0.011183301889954778,0.1177350169727408,0.966666666666665,-2.1,0.1575036196462163
APU,2015q2,2015-04-01,-0.009002874585580134,-0.04353032274522787,0.07038418738881802,0.9533333333333331,-2.8,0.1575036196462163
APU,2015q3,2015-07-01,-0.0031619413113768147,-0.023299725027186895,0.14398075210599304,0.860000000000003,-2.0,0.1575036196462163
APU,2015q4,2015-10-01,-0.018020551285363062,-0.01536063347616677,0.07976587665686452,0.15333333333333243,-1.7,0.1575036196462163
APU,2016q1,2016-01-01,0.016852424425487733,-0.002270791189034491,0.01739682790150887,0.0,-0.2,0.1575036196462163
APU,2016q2,2016-04-01,-0.0029561729989935337,0.01729658252487093,-0.10795932394566643,0.0,-0.6,0.1575036196462163
APU,2016q3,2016-07-01,-0.01465754794668328,0.001088958358743045,-0.07777469830757666,0.0,-1.0,0.1575036196462163
APU,2016q4,2016-10-01,0.0006821038524984502,0.023455110287725556,0.014106992753903702,-0.2833333333333332,-1.7,0.1575036196462163
APU,2017q1,2017-01-01,0.024665408391965737,0.004053246514096115,-0.046764403924270725,-1.1533333333333342,0.9,0.1575036196462163
APU,2017q2,2017-04-01,-0.00480173707104381,0.007676849800608393,0.02227698075468809,-1.75,0.3,0.1575036196462163
APU,2017q3,2017-07-01,-0.011590482252887835,0.010684634051394061,-0.015606942019981362,-1.793333333333333,0.3,0.1575036196462163
APU,2017q4,2017-10-01,-0.007396664989314683,0.012051177449636089,0.02606949025424643,-1.7000000000000002,1.1,0.1575036196462163
APU,2018q1,2018-01-01,0.01022188191586304,-0.00965404305842111,-0.0011502635576929876,-0.7366666666666664,0.5,0.1575036196462163
APU,2018q2,2018-04-01,-0.01140249310308672,0.00923907561999703,0.10575298638937713,-0.33333333333333215,-1.6,0.1575036196462163
APU,2018q3,2018-07-01,-0.014740627878699897,-0.0031789041452108917,0.09334328987546825,0.0,1.1,0.1575036196462163
APU,2018q4,2018-10-01,-0.005099950742895487,-0.005929441098504921,-0.03818479547147202,0.0,-0.5,0.1575036196462163
APU,2019q1,2019-01-01,0.013921969688940994,0.0025581941783421485,-0.010412546807952117,0.0,-0.9,0.1575036196462163
APU,2019q2,2019-04-01,-0.007419396531046729,0.0020075933859745117,0.038559850467068335,0.0,0.6,0.1575036196462163
APU,2019q3,2019-07-01,-0.012060901581997907,-0.012016584009931556,0.013878494353589454,-0.3966666666666674,0.2,0.1575036196462163
APU,2019q4,2019-10-01,-0.005300074826704915,0.008164118207357175,0.035525123915613355,-1.0466666666666669,0.1,0.1575036196462163
APU,2020q1,2020-01-01,-0.004556384086559451,-0.009436243066151227,0.079532534568028,-0.7766666666666664,-1.9,0.1575036196462163
APU,2020q2,2020-04-01,-0.12567432374196263,-0.024787279004403393,0.18954309575439465,-1.1000000000000005,-11.8,0.1575036196462163
APU,2020q3,2020-07-01,0.06714757314548114,0.045587982321070156,-0.001529104348209298,-1.0833333333333333,15.4,0.1575036196462163
APU,2020q4,2020-10-01,-0.006316555669606316,0.006508653342857541,0.0029879298816946065,-0.09666666666666712,2.5,0.1575036196462163
APU,2021q1,2021-01-01,0.014495811443952622,-0.007603318071831774,0.014082666495261353,0.1100000000000001,1.7,0.1575036196462163
APU,2021q2,2021-04-01,0.017168365465883628,-0.005493711351966717,-0.03304545679714299,1.2233333333333332,-1.6,0.1575036196462163
APU,2021q3,2021-07-01,0.040444696280445225,0.012622045147157536,-0.012479099776196545,1.6300000000000003,-1.1,0.1575036196462163
APU,2021q4,2021-10-01,-0.006340806951829592,0.006169364825150218,0.06539429741048952,2.706666666666667,-2.7,0.1575036196462163
APU,2022q1,2022-01-01,0.003303710626615164,0.0016958645158988567,-0.06469337471267944,2.6933333333333334,3.3,0.1575036196462163
APU,2022q2,2022-04-01,-0.04822969070893102,0.014223808106263941,-0.061526752279471575,2.086666666666666,1.5,0.1575036196462163
APU,2022q3,2022-07-01,-0.006799198899761549,-0.00686082717760127,0.06466213921882047,1.1100000000000012,0.5,0.1575036196462163
APU,2022q4,2022-10-01,-0.010283135188504211,-0.011267476451710898,0.0012057445663369304,0.1899999999999995,-0.6,0.1575036196462163
APU,2023q1,2023-01-01,0.03200803987325074,-0.00878333557735856,-0.011706187334243445,0.0,0.2,0.1575036196462163
APU,2023q2,2023-04-01,-0.012919327237570055,-0.009970579450011372,-0.047962408624016684,0.0,0.9,0.1575036196462163
