Setor,Trimestre,Period,d_ln_Produtividade,Impacto_tech_setor,d_ln_Cambio,d_Selic,VAB_Industria_Volume,Share_2012q1,d_ln_PPI_Semi
APU,2012q2,2012-04-01,-0.0033070995731905,0.0093785810122951,0.1049078733506749,-1.4366666666666674,-2.1,0.1575036196462163,0.0016727073875033582
APU,2012q3,2012-07-01,-0.020317349359225,0.0012345442059884,0.0327679155782643,-1.0999999999999996,1.5,0.1575036196462163,-0.006707683059238967
APU,2012q4,2012-10-01,0.0127967907014974,-0.0195119624393305,0.0145497445022559,-0.5933333333333328,-0.9,0.1575036196462163,-0.006188486698114559
APU,2013q1,2013-01-01,0.0273284490525278,0.0089693106607415,-0.0309498006463821,-0.0499999999999989,0.3,0.1575036196462163,-0.003958161797628534
APU,2013q2,2013-04-01,0.0032379093005561,0.0363128548257446,0.0365370388477542,0.3999999999999986,2.9,0.1575036196462163,0.007900718298437859
APU,2013q3,2013-07-01,0.0018049681966778,-0.0119711142472646,0.1002605765260633,0.9999999999999992,0.5,0.1575036196462163,0.0011235956238264677
APU,2013q4,2013-10-01,0.0020355230305293,0.0028841326743179,-0.0051700080106414,1.0066666666666677,-0.8,0.1575036196462163,0.0
APU,2014q1,2014-01-01,-0.014379653383449,-0.0051782525829233,0.0377159237511521,0.8833333333333329,0.1,0.1575036196462163,-0.009024313922264326
APU,2014q2,2014-04-01,0.0014449983148723,0.0025030188948782,-0.0584731026871309,0.4733333333333345,-2.5,0.1575036196462163,-0.0022688608711911584
APU,2014q3,2014-07-01,-0.0038158171439022,-0.0033007098679127,0.0201713129360647,0.0099999999999997,-0.5,0.1575036196462163,0.0011350739016640077
APU,2014q4,2014-10-01,0.0052830665418528,0.0056897867424833,0.1122214031785634,0.3166666666666664,0.8,0.1575036196462163,-0.0005673759017454927
APU,2015q1,2015-01-01,0.0037844501540993,-0.0111833018899547,0.1177350169727408,0.966666666666665,-2.1,0.1575036196462163,-0.0011357184639271267
APU,2015q2,2015-04-01,-0.0090028745855801,-0.0435303227452278,0.070384187388818,0.9533333333333333,-2.8,0.1575036196462163,-0.0022753138371358617
APU,2015q3,2015-07-01,-0.0031619413113768,-0.0232997250271868,0.143980752105993,0.860000000000003,-2.0,0.1575036196462163,-0.005138464061005266
APU,2015q4,2015-10-01,-0.018020551285363,-0.0153606334761667,0.0797658766568645,0.1533333333333324,-1.7,0.1575036196462163,-0.002866152721608728
APU,2016q1,2016-01-01,0.0168524244254877,-0.0022707911890344,0.0173968279015088,0.0,-0.2,0.1575036196462163,-0.007490671729157405
APU,2016q2,2016-04-01,-0.0029561729989935,0.0172965825248709,-0.1079593239456664,0.0,-0.6,0.1575036196462163,-0.002316156217830212
APU,2016q3,2016-07-01,-0.0146575479466832,0.001088958358743,-0.0777746983075766,0.0,-1.0,0.1575036196462163,-0.00348432408261079
APU,2016q4,2016-10-01,0.0006821038524984,0.0234551102877255,0.0141069927539037,-0.2833333333333332,-1.7,0.1575036196462163,-0.007005282588409045
APU,2017q1,2017-01-01,0.0246654083919657,0.0040532465140961,-0.0467644039242707,-1.1533333333333342,0.9,0.1575036196462163,0.007586847013058673
APU,2017q2,2017-04-01,-0.0048017370710438,0.0076768498006083,0.022276980754688,-1.75,0.3,0.1575036196462163,0.0029027596579611625
APU,2017q3,2017-07-01,-0.0115904822528878,0.010684634051394,-0.0156069420199813,-1.793333333333333,0.3,0.1575036196462163,-0.02049852154834131
APU,2017q4,2017-10-01,-0.0073966649893146,0.012051177449636,0.0260694902542464,-1.7000000000000002,1.1,0.1575036196462163,-0.005934735519813827
APU,2018q1,2018-01-01,0.010221881915863,-0.0096540430584211,-0.0011502635576929,-0.7366666666666664,0.5,0.1575036196462163,0.004158010148663571
APU,2018q2,2018-04-01,-0.0114024931030867,0.009239075619997,0.1057529863893771,-0.3333333333333321,-1.6,0.1575036196462163,0.0005925926099337175
APU,2018q3,2018-07-01,-0.0147406278786998,-0.0031789041452108,0.0933432898754682,0.0,1.1,0.1575036196462163,-0.008925974169078366
APU,2018q4,2018-10-01,-0.0050999507428954,-0.0059294410985049,-0.038184795471472,0.0,-0.5,0.1575036196462163,-0.0029931180681321834
APU,2019q1,2019-01-01,0.0139219696889409,0.0025581941783421,-0.0104125468079521,0.0,-0.9,0.1575036196462163,-0.009033485097667437
APU,2019q2,2019-04-01,-0.0074193965310467,0.0020075933859745,0.0385598504670683,0.0,0.6,0.1575036196462163,0.001813237124181022
APU,2019q3,2019-07-01,-0.0120609015819979,-0.0120165840099315,0.0138784943535894,-0.3966666666666674,0.2,0.1575036196462163,0.005420067469338541
APU,2019q4,2019-10-01,-0.0053000748267049,0.0081641182073571,0.0355251239156133,-1.0466666666666669,0.1,0.1575036196462163,0.0006004203122440543
APU,2020q1,2020-01-01,-0.0045563840865594,-0.0094362430661512,0.079532534568028,-0.7766666666666664,-1.9,0.1575036196462163,-0.0006004203122440543
APU,2020q2,2020-04-01,-0.1256743237419626,-0.0247872790044033,0.1895430957543946,-1.1000000000000003,-11.8,0.1575036196462163,-0.010869672236903938
APU,2020q3,2020-07-01,0.0671475731454811,0.0455879823210701,-0.0015291043482092,-1.0833333333333333,15.4,0.1575036196462163,-0.0042592093593958325
APU,2020q4,2020-10-01,-0.0063165556696063,0.0065086533428575,0.0029879298816946,-0.0966666666666671,2.5,0.1575036196462163,-0.013505423199807076
APU,2021q1,2021-01-01,0.0144958114439526,-0.0076033180718317,0.0140826664952613,0.1100000000000001,1.7,0.1575036196462163,0.004316997145400681
APU,2021q2,2021-04-01,0.0171683654658836,-0.0054937113519667,-0.0330454567971429,1.2233333333333332,-1.6,0.1575036196462163,0.005523180656110682
APU,2021q3,2021-07-01,0.0404446962804452,0.0126220451471575,-0.0124790997761965,1.6300000000000003,-1.1,0.1575036196462163,0.004817020874583466
APU,2021q4,2021-10-01,-0.0063408069518295,0.0061693648251502,0.0653942974104895,2.706666666666667,-2.7,0.1575036196462163,0.008665728395902406
APU,2022q1,2022-01-01,0.0033037106266151,0.0016958645158988,-0.0646933747126794,2.693333333333334,3.3,0.1575036196462163,0.022744126119000008
APU,2022q2,2022-04-01,-0.048229690708931,0.0142238081062639,-0.0615267522794715,2.086666666666666,1.5,0.1575036196462163,0.003535071554701119
APU,2022q3,2022-07-01,-0.0067991988997615,-0.0068608271776012,0.0646621392188204,1.1100000000000012,0.5,0.1575036196462163,0.0013518042765481297
APU,2022q4,2022-10-01,-0.0102831351885042,-0.0112674764517108,0.0012057445663369,0.1899999999999995,-0.6,0.1575036196462163,0.013146068907619046
APU,2023q1,2023-01-01,0.0320080398732507,-0.0087833355773585,-0.0117061873342434,0.0,0.2,0.1575036196462163,-0.004426893885050909
APU,2023q2,2023-04-01,-0.01291932723757,-0.0099705794500113,-0.0479624086240166,0.0,0.9,0.1575036196462163,-0.007562776399954174
APU,2023q3,2023-07-01,0.007611215090892,0.0007392170000033,-0.0144296190127115,-0.379999999999999,0.7,0.1575036196462163,0.005563679116043829
APU,2023q4,2023-10-01,-0.0133898151068017,-0.0015293708650882,0.0148469251060516,-1.0400000000000027,1.5,0.1575036196462163,0.006368022170764931
APU,2024q1,2024-01-01,0.0132673421777433,0.0183194473310093,-9.421518755781122e-05,-0.9633333333333328,0.6,0.1575036196462163,0.008715482051075085
APU,2024q2,2024-04-01,-0.0321410100093491,0.003297742700817,0.0519421897324703,-0.7633333333333319,0.5,0.1575036196462163,0.0027603797122131013
APU,2024q3,2024-07-01,0.0077149723272151,0.0202845184990065,0.0610398418730573,-0.0700000000000002,0.7,0.1575036196462163,-0.011655587016039526
APU,2024q4,2024-10-01,-0.0180888891543458,-0.0203730841117766,0.0522299686138909,0.7200000000000006,0.4,0.1575036196462163,0.018748179836389767
Comércio,2012q2,2012-04-01,0.0509730826223582,0.0018137503983838,0.1049078733506749,-1.4366666666666674,-2.1,0.0304600719987079,0.0016727073875033582
Comércio,2012q3,2012-07-01,0.0549385148277503,0.0002387520076329,0.0327679155782643,-1.0999999999999996,1.5,0.0304600719987079,-0.006707683059238967
Comércio,2012q4,2012-10-01,-0.0221671607491478,-0.0037734737910981,0.0145497445022559,-0.5933333333333328,-0.9,0.0304600719987079,-0.006188486698114559
Comércio,2013q1,2013-01-01,-0.0594251981296489,0.0017346004435875,-0.0309498006463821,-0.0499999999999989,0.3,0.0304600719987079,-0.003958161797628534
Comércio,2013q2,2013-04-01,0.0515074687897567,0.0070226460506451,0.0365370388477542,0.3999999999999986,2.9,0.0304600719987079,0.007900718298437859
Comércio,2013q3,2013-07-01,0.0203676798580494,-0.0023151277583048,0.1002605765260633,0.9999999999999992,0.5,0.0304600719987079,0.0011235956238264677
Comércio,2013q4,2013-10-01,-0.0083717231139979,0.0005577706030558,-0.0051700080106414,1.0066666666666677,-0.8,0.0304600719987079,0.0
Comércio,2014q1,2014-01-01,-0.0510795964459935,-0.0010014369628941,0.0377159237511521,0.8833333333333329,0.1,0.0304600719987079,-0.009024313922264326
Comércio,2014q2,2014-04-01,0.0111963591006312,0.0004840659276489,-0.0584731026871309,0.4733333333333345,-2.5,0.0304600719987079,-0.0022688608711911584
Comércio,2014q3,2014-07-01,0.0533844517494317,-0.0006383336487713,0.0201713129360647,0.0099999999999997,-0.5,0.0304600719987079,0.0011350739016640077
Comércio,2014q4,2014-10-01,2.6042848455087864e-05,0.0011003640057455,0.1122214031785634,0.3166666666666664,0.8,0.0304600719987079,-0.0005673759017454927
Comércio,2015q1,2015-01-01,-0.0902083675840172,-0.0021627704907129,0.1177350169727408,0.966666666666665,-2.1,0.0304600719987079,-0.0011357184639271267
Comércio,2015q2,2015-04-01,-0.0248042168146003,-0.0084184526547703,0.070384187388818,0.9533333333333333,-2.8,0.0304600719987079,-0.0022753138371358617
Comércio,2015q3,2015-07-01,0.0178550515810707,-0.0045059999476352,0.143980752105993,0.860000000000003,-2.0,0.0304600719987079,-0.005138464061005266
Comércio,2015q4,2015-10-01,-0.002971506221705,-0.0029706365014389,0.0797658766568645,0.1533333333333324,-1.7,0.0304600719987079,-0.002866152721608728
Comércio,2016q1,2016-01-01,-0.0772701401294861,-0.0004391547525535,0.0173968279015088,0.0,-0.2,0.0304600719987079,-0.007490671729157405
Comércio,2016q2,2016-04-01,0.0213890412754793,0.0033450351821918,-0.1079593239456664,0.0,-0.6,0.0304600719987079,-0.002316156217830212
Comércio,2016q3,2016-07-01,0.0567977407471687,0.0002105967474615,-0.0777746983075766,0.0,-1.0,0.0304600719987079,-0.00348432408261079
Comércio,2016q4,2016-10-01,-0.0271433845775295,0.0045360503441542,0.0141069927539037,-0.2833333333333332,-1.7,0.0304600719987079,-0.007005282588409045
Comércio,2017q1,2017-01-01,-0.0496080401887217,0.000783868846476,-0.0467644039242707,-1.1533333333333342,0.9,0.0304600719987079,0.007586847013058673
Comércio,2017q2,2017-04-01,0.0401333596067909,0.001484647769842,0.022276980754688,-1.75,0.3,0.0304600719987079,0.0029027596579611625
